row_id,Actual,gnb_proba,dt_le_proba,rf_proba,xgb_proba
20810,0,0.000717355,0,0.010149291,0.000369966
2860,0,0.071478845,0.298245614,0.158832163,0.1638522
4408,0,0.00119582,0.02,0.081507756,0.001681936
25747,0,0.013394696,0.6,0.502879857,0.019145157
23441,0,0.005260046,0,0.008383189,0.000821308
1825,0,0.011016573,0.272727273,0.258018279,0.4100489
8438,0,0.0019105,0.007858546,0.006449949,0.021351773
16783,0,0.000629949,0.040816327,0.034851322,0.000212753
145,0,6.63E-06,0.073684211,0.055772554,0.00148873
380,1,0.533800454,0.650793651,0.616338022,0.71305424
2807,0,0.235421774,0,0.104757664,0.002262552
946,1,1,1,0.994508921,0.9988932
9169,0,7.42E-06,0,0.000163577,3.23E-07
16281,0,0.00180172,0.165605096,0.069849851,0.023484308
9773,0,0.000108943,0.055555556,0.02217999,0.019672744
14381,1,0.001467264,0.833333333,0.617491626,0.75190985
3567,0,0.000924034,0.156739812,0.121308755,0.02825063
28542,0,0.000164898,0,0.010990358,1.73E-06
2368,0,1.44E-05,0,0.004606957,1.75E-05
3316,1,0.348008805,0.735294118,0.754613161,0.48215932
21019,0,0.120705331,0.298245614,0.204874541,0.043420617
23340,0,0.000131894,0,0.000329523,5.83E-06
23156,1,0.3338894,0.710144928,0.672436979,0.86155605
18067,0,9.98E-05,0.154929577,0.147144277,0.000101199
13010,0,0.376456816,0.367346939,0.615272898,0.6546156
24273,0,0.999883211,0.287671233,0.297791432,0.014265865
20874,0,0.074514334,0.356306892,0.375035146,0.13387497
24508,0,0.000353295,0.050847458,0.094744955,0.21286972
17117,0,0.001769317,0.016216216,0.028848253,0.001883379
28966,0,0.865105332,0.012216405,0.005863378,0.000112204
11498,1,0.12372277,0.21875,0.297318162,0.370302
13278,0,0.013042336,0.058823529,0.136657688,0.17197952
21712,1,1,1,1,0.99967873
6113,1,0.044185698,0.416666667,0.253579451,0.37216803
1115,1,0.078947354,0.517241379,0.465616206,0.39057875
13154,1,0.001378,0.001445087,0.004760077,0.000335745
26819,0,0.003884015,0.012216405,0.014559057,0.00065923
19001,0,4.68E-05,0,0.000800573,8.58E-07
30481,0,0.000229327,0.263157895,0.158140214,0.007655884
37,1,0.034179797,0.118421053,0.13508774,0.61911196
19089,1,0.181863042,0.488970588,0.408233183,0.85608006
5367,0,0.01331088,0,0.062574301,0.010400263
979,0,0.016584336,0.283950617,0.39228619,0.17929801
286,1,0.052131085,0.172413793,0.176542748,0.08483205
16849,0,0.000154822,0,0.010287866,0.000171535
5147,0,1.27E-05,0,0.000140472,1.99E-07
27140,0,0.104981667,0.517241379,0.490179097,0.89049065
22862,1,1,1,0.999482759,0.9999552
20544,0,0.132563819,0.069767442,0.252221837,0.22168541
30627,0,0.000276188,0,0.002838613,1.73E-05
14726,0,0.001996014,0.007858546,0.006022251,0.07928903
7573,0,0.003211568,0.050847458,0.048633903,0.006935498
27794,0,0.108018315,0.381889764,0.502105636,0.72896
15234,0,0.001239278,0.012216405,0.001767452,0.000187801
9733,0,0.00015859,0.006507592,0.007634339,7.62E-06
27272,0,0.001393195,0,0.003212084,0.000816639
15396,0,2.63E-06,0,0.000170804,1.43E-06
789,1,0.999734496,0.356306892,0.400907675,0.97142035
8394,0,0.001812094,0.259259259,0.168680332,0.14727569
8439,0,0.093992136,0.517241379,0.446655665,0.5164795
29994,0,0.964057756,0.21875,0.255580441,0.000789336
26673,0,9.06E-07,0.001445087,0.003685784,9.73E-06
1386,1,0.114556728,0.517241379,0.495490536,0.62941295
1434,0,0.024411974,0.356306892,0.370272522,0.4054207
3526,0,0.070180667,0.179487179,0.37895312,0.78171754
4218,0,2.41E-05,0,0.000985323,4.74E-06
12716,0,0.00110426,0.007858546,0.004961134,0.000628456
17708,1,0.493634758,0.857142857,0.779691849,0.95166737
18129,0,5.25E-08,0,5.97E-05,1.00E-05
23191,0,0.999792712,0.136363636,0.116077886,0.000737402
26069,1,0.301542943,0.857142857,0.809409701,0.89476603
12141,0,0.024447691,0.044444444,0.129225876,0.27504355
22086,0,0.000186861,0.026548673,0.043387548,0.0001244
21403,0,0.001118168,0.001445087,0.007365726,0.000229735
24867,1,0.999977529,1,0.646782998,0.9994729
17055,1,0.999993149,0.901408451,0.876371662,0.97952354
18571,0,0.001972037,0.156739812,0.108486896,0.002504841
2029,1,0.208538692,0.75,0.749755034,0.9229126
30616,0,0.001991442,0.029126214,0.053101793,0.001995778
6782,0,0.000749614,0.05,0.122541546,0.001835557
20011,0,0.000332736,0.191489362,0.253994897,0.41696054
4892,0,0.003248547,0.833333333,0.69534814,0.4345182
2304,1,0.999626259,0.381889764,0.356852205,0.7679117
25871,0,0.035508709,0.283950617,0.37718522,0.2215739
28014,0,0.000131536,0,0.006699169,0.004322902
28323,0,0.013357201,0,0.069408729,0.008581083
28069,0,0.000788754,0.073684211,0.038918706,0.001164104
14826,0,0.000605278,0.059322034,0.028516362,0.006170077
18492,0,0.999326326,0.156739812,0.168530704,0.028923588
10974,0,0.021606589,0.25,0.218456902,0.9115084
21869,0,1.44E-07,0.006507592,0.008747956,0.000159494
14047,0,7.51E-05,0.029126214,0.040791868,0.000542717
18036,0,0.33263467,0.726937269,0.715228381,0.8443052
2913,0,0.000487527,0,0.000472734,0.000219526
19294,0,7.63E-05,0,0.000632612,0.003442359
20880,0,0.000262166,0.012216405,0.012432908,0.026243778
19756,0,0.000173589,0,0.000345535,2.05E-07
10564,0,0.160783657,0.536277603,0.479603414,0.71537966
6470,0,0.000937206,0.136363636,0.044695538,0.01328654
427,1,0.030360597,0.381889764,0.498680668,0.5081427
11998,1,0.085148199,0.356306892,0.385799197,0.2428289
20675,0,0.003866919,0.094890511,0.186871165,0.38124996
16338,0,0.000213386,0,0.000140746,4.05E-07
475,0,2.38E-05,0,0.000756494,4.46E-08
22106,0,0.000108897,0.001445087,0.003838747,0.000184515
30215,1,1,1,0.970481121,0.9838869
28900,0,0.001818536,0.001445087,0.008646203,0.001660659
3651,0,0.000222937,0.094890511,0.05358151,8.10E-05
30278,0,1.95E-06,0.055555556,0.028334997,0.001257715
21841,0,0.05878278,0.179487179,0.307641833,0.4080673
15197,1,0.012795156,0.165605096,0.140192273,0.040843632
362,0,0.001775905,0.059322034,0.041096477,0.004300715
5531,1,1,0.862068966,0.88582707,0.76372796
6003,0,0.000316508,0.012216405,0.00418333,0.000844953
20751,0,1.54E-07,0.016129032,0.012029192,5.16E-07
14058,0,0.001852797,0.010582011,0.027353913,0.001862266
14513,1,0.094389036,0.377880184,0.408491635,0.070849404
24524,0,0.003497052,0.010582011,0.007608958,0.000899888
2055,0,0.000171024,0,0.040293776,0.000287489
9394,0,0.04540116,0.386363636,0.317368824,0.886785
4806,0,0.045315379,0.115384615,0.144139936,0.007986079
17255,0,3.67E-05,0,0.030077075,0.001491451
7576,0,0.156463043,0.488970588,0.487295578,0.98363346
12721,0,0.083096851,0.311111111,0.446770253,0.8250782
12492,0,0.005923014,0.056818182,0.061974307,0.01728841
5223,0,0.052063666,0.118421053,0.195257721,0.065233745
10796,0,0.000112205,0,0.001498054,5.20E-05
29865,1,1,1,0.988947003,0.9999677
15248,0,0.116855734,0.6,0.626861127,0.85360444
1726,0,0.998805051,0.118421053,0.245197157,0.000108618
10152,0,1.91E-08,0,0.000409182,3.06E-08
13875,0,8.36E-08,0.016216216,0.022012448,1.35E-08
23735,1,0.993250445,0.010582011,0.076193102,0.88371044
10990,1,0.416772176,0.735294118,0.762682613,0.26719564
18744,1,0.075836936,0.159090909,0.226808706,0.020977389
6290,0,0.315967811,0.574468085,0.65947463,0.6657434
12751,0,0.077062057,0.356306892,0.375276491,0.14325176
4632,0,1.61E-08,0,0.020126805,1.82E-06
17201,0,0.376736367,0.367346939,0.638823719,0.021244263
